customer_ID,territory_ID,customer_name,customer_code,Address,City,PIN_code,mobile_number
1,1,AKSHATHA AGRO VET AGENCIES- MYSORE-ADDL SHP POINT,CKAS-0043,NA,MYSORE,NA,NA
2,2,AKSHATHA AGRO-VET AGENCIES-ADDL SHIP POINT,CKAS-0069,NA,HASSAN,NA,NA
3,3,AKSHATHA AGRO-VET AGENCIES,CKA-0001,NA,BANGALORE,NA,NA
4,3,NIRANJAN TRADING COMPANY,CKA-0003,NA,TUMKUR,NA,NA
5,4,ANNAPURNA AGRO AGENCIES,CKA-0005,NA,BELLARY,NA,NA
6,4,SRI KRISHNA AGRO CHEMICALS,CKA-0030,NA,BELLARY,NA,NA
7,4,SUJIR MARKETING PVT.LTD,CKA-0032,NA,HUBLI,NA,NA
8,4,SANGAMESH AGRO AGENCIES,CKA-0034,NA,HUBLI,NA,NA
9,4,AKSHAYA FARM SUPPLIES,CKA-0067,NA,BELLARY,NA,NA
10,2,SAPTHAGIRI AGRO AGENCIES,CKA-0118,NA,NAGAMANGALA,NA,NA
11,1,SRI MANJUNATHA AGRO AGENCIES,CKA-0123,NA,MANDYA,NA,NA
12,4,PAVAN AGRO AGENCIES,CKA-0159,NA,BELLARY,NA,NA
13,4,SRI MANJUNATHA AGRO SEED SUPPLIES,CKA-0161,NA,BELLARY,NA,NA
14,4,ARUNA AGRO AGENCIES,CKA-0162,NA,BELLARY,NA,NA
15,4,BASAVESWARA AGRO AGENCIES,CKA-0163,NA,BELLARY,NA,NA
16,4,SHREE SIDDESHWARA AGENCIES,CKA-0164,NA,BELLARY,NA,NA
17,4,SARITHA AGRO SERVICES,CKA-0165,NA,BELLARY,NA,NA
18,4,VIGNESHWARA CHEMICALS & FERTILIZERS,CKA-0166,NA,BELLARY,NA,NA
19,3,VIKAAS TRADERS,CKA-0319,NA,GUBBI,NA,NA
20,4,SREE MARUTHI ENTERPRISES,CKA-0323,NA,BELLARY,NA,NA
21,4,SREELEKHA AGENCIES,CKA-0340,NA,BELLARY,NA,NA
22,4,SRI LAKSHMI TRADERS,CKA-0343,NA,BELLARY,NA,NA
23,1,PRERANA AGRO AGENCIES,CKA-0352,NA,MYSORE,NA,NA
24,2,TRS TRADERS,CKA-0353,NA,HASSAN,NA,NA
25,1,AKSHAYA AGRO SALES PVT LTD,CKA-0356,NA,MYSORE,NA,NA
