customer_ID,sku_ID,period,target_val,target_volm,actual_val,actual_volm
1,8,201708,NA,NA,149320.04,120.0
1,15,201708,NA,NA,168594.62,120.0
1,52,201708,NA,NA,207302.4,960.0
1,59,201708,NA,NA,0.0,1.2
2,7,201708,NA,NA,172940.8,100.0
2,8,201708,NA,NA,373300.08,300.0
2,28,201708,NA,NA,65599.74,30.0
2,34,201708,NA,NA,64605.0,30.0
2,55,201708,NA,NA,274428.0,200.0
2,56,201708,NA,NA,50296.32,20.0
3,7,201708,NA,NA,501528.32,290.0
3,8,201708,NA,NA,1097502.2,882.0
3,11,201708,NA,NA,361108.32,300.0
3,27,201708,NA,NA,413000.0,200.0
3,28,201708,NA,NA,21866.58,10.0
3,29,201708,NA,NA,620271.72,290.0
3,30,201708,NA,NA,212495.58,110.0
3,31,201708,NA,NA,556997.76,360.0
3,32,201708,NA,NA,224435.99999999997,150.0
3,34,201708,NA,NA,215350.0,100.0
3,46,201708,NA,NA,142411.48,100.0
3,48,201708,NA,NA,775260.0,600.0
3,50,201708,NA,NA,542800.0,400.0
3,54,201708,NA,NA,138442.5,100.0
3,55,201708,NA,NA,68607.0,50.0
3,56,201708,NA,NA,75444.48,30.0
3,60,201708,NA,NA,15694.0,50.0
3,61,201708,NA,NA,14691.0,50.0
3,62,201708,NA,NA,42111.840000000004,30.0
4,48,201708,NA,NA,12339.55,10.0
4,55,201708,NA,NA,13103.94,10.0
6,15,201708,NA,NA,8429.74,6.0
6,27,201708,NA,NA,20650.0,10.0
6,29,201708,NA,NA,21388.68,10.0
6,30,201708,NA,NA,38635.56,20.0
6,50,201708,NA,NA,13570.0,10.0
6,54,201708,NA,NA,96909.74,70.0
7,8,201708,NA,NA,52262.0,42.0
7,15,201708,NA,NA,25289.199999999997,18.0
7,27,201708,NA,NA,41300.0,20.0
7,34,201708,NA,NA,43070.0,20.0
7,40,201708,NA,NA,110762.48,25.0
7,46,201708,NA,NA,85446.9,60.0
7,48,201708,NA,NA,51684.0,40.0
7,50,201708,NA,NA,40710.0,30.0
7,54,201708,NA,NA,96909.74,70.0
7,55,201708,NA,NA,27442.8,20.0
7,63,201708,NA,NA,212742.19999999998,110.0
7,64,201708,NA,NA,203007.19999999998,110.0
7,65,201708,NA,NA,163692.44,9.6
8,7,201708,NA,NA,17294.08,10.0
8,27,201708,NA,NA,41300.0,20.0
8,28,201708,NA,NA,43733.16,20.0
8,29,201708,NA,NA,42777.36,20.0
8,31,201708,NA,NA,46416.479999999996,30.0
8,32,201708,NA,NA,44887.2,30.0
8,34,201708,NA,NA,32302.5,15.0
8,46,201708,NA,NA,42723.44,30.0
8,54,201708,NA,NA,27688.5,20.0
8,63,201708,NA,NA,96701.0,50.0
8,68,201708,NA,NA,14188.88,12.0
8,69,201708,NA,NA,202134.0,100.0
10,8,201708,NA,NA,104524.02,84.0
10,15,201708,NA,NA,84297.32,60.0
10,28,201708,NA,NA,174932.64,80.0
10,29,201708,NA,NA,106943.4,50.0
10,32,201708,NA,NA,2992.48,2.0
10,34,201708,NA,NA,43070.0,20.0
10,40,201708,NA,NA,265829.92,60.0
10,41,201708,NA,NA,219484.72,50.0
10,46,201708,NA,NA,42723.44,30.0
10,47,201708,NA,NA,233286.0,150.0
10,50,201708,NA,NA,203550.0,150.0
10,56,201708,NA,NA,125740.8,50.0
10,60,201708,NA,NA,31388.0,100.0
10,61,201708,NA,NA,14691.0,50.0
11,8,201708,NA,NA,14932.0,12.0
11,29,201708,NA,NA,42777.36,20.0
12,52,201708,NA,NA,69100.8,320.0
12,59,201708,NA,NA,0.0,0.4
13,8,201708,NA,NA,7466.0,6.0
13,27,201708,NA,NA,20650.0,10.0
13,31,201708,NA,NA,9283.3,6.0
13,32,201708,NA,NA,14962.4,10.0
13,40,201708,NA,NA,21155.62,5.0
13,50,201708,NA,NA,12959.34,10.0
15,49,201708,NA,NA,12390.0,10.0
16,49,201708,NA,NA,24222.46,20.0
17,49,201708,NA,NA,11832.46,10.0
19,8,201708,NA,NA,28520.12,24.0
